opposite sign                            	nevts: 771/447/664/585/2467
1	4315	1294148
1	4315	1294164
1	4315	1294186
1	4315	1294217
1	4315	1294218
1	4315	1294220
1	4315	1294224
1	4315	1294232
1	4315	1294249
1	4315	1294250
1	4315	1294269
1	4315	1294283
1	5815	1743908
1	5815	1743910
1	5815	1743917
1	5815	1743919
1	5815	1743920
1	5815	1743931
1	5815	1743935
1	5815	1743936
1	5815	1743939
1	5815	1743944
1	5815	1743946
1	5815	1743966
1	5815	1743968
1	5815	1743988
1	5815	1743991
1	5815	1743997
1	5815	1744005
1	5815	1744012
1	5815	1744022
1	5815	1744026
1	5815	1744029
1	5815	1744031
1	5815	1744035
1	5815	1744044
1	5815	1744112
1	5815	1744123
1	5815	1744135
1	5815	1744141
1	5815	1744158
1	5815	1744162
1	5815	1744175
1	5815	1744176
1	5815	1744177
1	5815	1744181
1	5815	1744188
1	5815	1744192
1	5815	1744197
1	5815	1744200
1	5882	1764010
1	5882	1764020
1	5882	1764046
1	5882	1764047
1	5882	1764050
1	5882	1764051
1	5882	1764053
1	5882	1764054
1	5882	1764059
1	5882	1764075
1	5882	1764081
1	5882	1764086
1	5882	1764092
1	5882	1764107
1	5882	1764114
1	5882	1764116
1	5882	1764119
1	5882	1764124
1	5882	1764134
1	5882	1764146
1	5882	1764165
1	5882	1764166
1	5882	1764174
1	5882	1764222
1	5882	1764230
1	5882	1764233
1	5882	1764240
1	5882	1764242
1	5882	1764244
1	5882	1764260
1	5882	1764263
1	5882	1764276
1	5882	1764281
1	5882	1764282
1	5885	1764903
1	5885	1764912
1	5885	1764931
1	5885	1764940
1	5885	1764947
1	5885	1764959
1	5885	1764971
1	5885	1764981
1	5885	1764984
1	5885	1764995
1	5885	1764998
1	5885	1764999
1	5885	1765012
1	5885	1765020
1	5885	1765051
1	5885	1765056
1	5885	1765059
1	5885	1765070
1	5885	1765071
1	5885	1765079
1	5885	1765082
1	5885	1765104
1	5885	1765109
1	5885	1765120
1	5885	1765138
1	5885	1765142
1	5885	1765149
1	5885	1765159
1	5885	1765169
1	5885	1765195
1	5885	1765200
1	5886	1765202
1	5886	1765206
1	5886	1765208
1	5886	1765240
1	5886	1765250
1	5886	1765261
1	5886	1765266
1	5886	1765293
1	5886	1765297
1	5886	1765309
1	5886	1765325
1	5886	1765359
1	5886	1765360
1	5886	1765371
1	5886	1765379
1	5886	1765412
1	5886	1765419
1	5886	1765445
1	5886	1765447
1	5886	1765458
1	5886	1765464
1	5886	1765482
1	5886	1765491
1	5886	1765492
1	5887	1765517
1	5887	1765526
1	5887	1765527
1	5887	1765538
1	5887	1765544
1	5887	1765557
1	5887	1765569
1	5887	1765571
1	5887	1765575
1	5887	1765580
1	5887	1765581
1	5887	1765589
1	5887	1765590
1	5887	1765591
