dPhiDiLepJet < 165 dg for ee/mm          	nevts: 180/94/308/297/879
1	7775	2331884
1	7775	2331930
1	7775	2331943
1	7775	2331951
1	7775	2331963
1	7775	2331975
1	7775	2331982
1	7775	2332083
1	7827	2347417
1	7827	2347451
1	7827	2347493
1	7827	2347495
1	7827	2347497
1	7827	2347523
1	7827	2347568
1	7827	2347607
1	7827	2347647
1	7827	2347650
1	7827	2347662
1	7827	2347698
1	7831	2348610
1	7831	2348613
1	7831	2348620
1	7831	2348624
1	7831	2348660
1	7831	2348730
1	7831	2348773
1	7831	2348774
1	7831	2348789
1	7831	2348810
1	7831	2348825
1	7831	2348827
1	7831	2348834
1	7831	2348862
1	7831	2348874
1	7831	2348900
1	7835	2349841
1	7835	2349855
1	7835	2349868
1	7835	2349871
1	7835	2349923
1	7835	2349981
1	7835	2349991
1	7835	2350008
1	7835	2350013
1	7835	2350015
1	7841	2351606
1	7841	2351619
1	7841	2351633
1	7841	2351751
1	7841	2351853
1	7842	2351944
1	7842	2352014
1	7842	2352015
1	7842	2352038
1	7842	2352101
1	7842	2352103
1	7842	2352113
1	7842	2352126
1	7842	2352158
1	7842	2352175
1	7846	2353109
1	7846	2353126
1	7846	2353165
1	7846	2353235
1	7846	2353260
1	7846	2353317
1	7846	2353335
1	7846	2353355
1	7851	2354605
1	7851	2354607
1	7851	2354617
1	7851	2354630
1	7851	2354647
1	7851	2354653
1	7851	2354656
1	7851	2354689
1	7851	2354692
1	7851	2354698
1	7851	2354773
1	7851	2354790
1	7851	2354865
1	7851	2354889
1	7851	2354890
1	7867	2359418
1	7867	2359426
1	7867	2359430
1	7867	2359467
1	7867	2359600
1	9788	2935626
1	9788	2935653
1	9788	2935696
1	9788	2935717
1	9788	2935745
1	9788	2935765
1	9788	2935786
1	9788	2935791
1	9788	2935795
1	9788	2935848
1	9788	2935849
1	9788	2935875
1	9788	2935884
1	9788	2935900
1	9803	2940140
1	9803	2940194
1	9803	2940211
1	9803	2940259
1	9803	2940343
1	9803	2940354
1	9803	2940365
1	9803	2940378
1	9803	2940379
1	9803	2940389
1	9803	2940400
1	9805	2940810
1	9805	2940811
1	9805	2940874
1	9805	2940884
1	9805	2940981
1	9805	2940986
1	9815	2943803
1	9815	2943813
1	9815	2943845
1	9815	2943866
1	9815	2943894
1	9815	2943941
1	9815	2943970
1	9821	2945506
1	9821	2945536
1	9821	2945547
1	9821	2945560
1	9821	2945568
1	9821	2945587
1	9821	2945625
1	9821	2945657
1	9821	2945683
1	9821	2945685
1	9821	2945686
1	9821	2945712
1	9821	2945713
1	9821	2945719
1	9821	2945730
1	10159	3046866
1	10159	3046929
1	10159	3046930
1	10159	3046979
1	10159	3047060
1	10159	3047078
1	10159	3047086
1	10233	3069009
1	10233	3069089
1	10233	3069112
1	10233	3069158
1	10233	3069219
1	10233	3069244
1	10233	3069246
1	10233	3069292
1	10238	3070532
1	10238	3070546
1	10238	3070561
1	10238	3070644
1	10238	3070704
1	10238	3070728
1	10238	3070753
1	10238	3070765
1	10238	3070782
1	10088	3025507
1	10088	3025620
1	10088	3025658
1	10088	3025704
1	10088	3025754
1	10088	3025756
1	10104	3030320
1	10104	3030395
1	10104	3030402
1	10104	3030498
1	10104	3030514
1	10104	3030520
1	10104	3030522
1	10104	3030541
1	10104	3030543
1	10104	3030557
1	10104	3030563
1	10104	3030569
1	10104	3030581
1	10106	3030933
1	10106	3030949
1	10106	3030986
1	10106	3031049
1	10106	3031084
1	10106	3031145
1	10106	3031152
1	10106	3031175
1	10203	3060035
1	10203	3060055
1	10203	3060073
1	10203	3060095
1	10203	3060109
1	10203	3060134
1	10203	3060173
1	10203	3060180
1	10203	3060198
1	10203	3060208
1	10203	3060269
1	10204	3060303
1	10204	3060309
1	10204	3060322
1	10204	3060329
1	10204	3060346
1	10204	3060430
1	10204	3060451
1	10204	3060453
1	10204	3060461
1	10204	3060474
1	10204	3060493
1	10204	3060501
1	10204	3060502
1	10204	3060505
1	10204	3060551
1	10305	3090620
1	10305	3090668
1	10305	3090686
1	10305	3090737
1	10305	3090773
1	10305	3090778
1	10305	3090816
1	10305	3090854
1	10305	3090875
1	10364	3108376
1	10364	3108406
1	10364	3108413
1	10364	3108417
1	10364	3108425
1	10364	3108433
1	10364	3108461
1	10364	3108474
1	10364	3108508
1	10364	3108542
1	10364	3108573
1	10413	3123016
1	10413	3123132
1	10413	3123135
1	10413	3123141
1	10413	3123142
1	10413	3123173
1	10413	3123178
1	10413	3123189
1	10413	3123193
1	10413	3123201
1	10413	3123219
1	10413	3123246
1	10462	3137702
1	10462	3137713
1	10462	3137765
1	10462	3137834
1	10462	3137843
1	10462	3137853
1	10462	3137855
1	10462	3137915
1	10462	3137974
1	10462	3138000
1	10465	3138622
1	10465	3138627
1	10465	3138644
1	10465	3138694
1	10465	3138696
1	10465	3138710
1	10465	3138719
1	10465	3138740
1	10465	3138758
1	10465	3138811
1	10465	3138838
1	10465	3138849
1	10465	3138880
1	10801	3239424
1	10801	3239468
1	10801	3239527
1	10801	3239554
1	10801	3239556
1	10801	3239557
1	10801	3239561
1	10801	3239585
1	10801	3239623
1	10801	3239641
1	10980	3293152
1	10980	3293165
1	10980	3293193
1	10980	3293217
1	10980	3293289
1	10980	3293301
1	10980	3293327
1	10980	3293332
1	10980	3293335
1	10980	3293353
1	10980	3293372
1	10980	3293392
1	10986	3294916
1	10986	3294954
1	10986	3295005
1	10986	3295020
1	10986	3295022
1	10986	3295031
1	10986	3295076
1	10986	3295077
1	10986	3295178
1	10986	3295188
1	10987	3295213
1	10987	3295247
1	10987	3295258
1	10987	3295353
1	10987	3295362
1	10987	3295404
1	10987	3295420
1	10987	3295457
1	10992	3296718
1	10992	3296772
1	10992	3296788
1	10992	3296806
1	10992	3296808
1	10992	3296846
1	10992	3296910
1	10992	3296923
1	10992	3296979
1	12373	3710997
1	12373	3711053
1	12373	3711074
1	12373	3711080
1	12373	3711089
1	12373	3711120
1	12373	3711126
1	12373	3711150
1	11079	3322825
1	11079	3322863
1	11079	3322873
1	11079	3322876
1	11079	3322880
1	11079	3322893
1	11079	3322896
1	11079	3322922
1	11079	3322957
1	11079	3323015
1	11079	3323042
1	11079	3323074
1	11079	3323084
1	11079	3323091
1	11080	3323162
1	11080	3323199
1	11080	3323220
1	11080	3323234
1	11080	3323261
1	11080	3323291
1	11080	3323299
1	11080	3323314
1	11080	3323369
1	11080	3323383
1	11084	3324368
1	11084	3324413
1	11084	3324428
1	11084	3324442
1	11084	3324461
1	11084	3324522
1	11084	3324573
1	11084	3324580
1	11084	3324595
1	11088	3325509
1	11088	3325512
1	11088	3325537
1	11088	3325556
1	11088	3325583
1	11088	3325598
1	11088	3325602
1	11088	3325632
1	11088	3325649
1	11088	3325671
1	11088	3325674
1	11088	3325701
1	11088	3325704
1	11088	3325729
1	11088	3325730
1	11088	3325748
1	11088	3325791
1	11095	3327670
1	11095	3327765
1	11095	3327771
1	11095	3327785
1	11095	3327854
1	11095	3327888
1	11100	3329135
1	11100	3329157
1	11100	3329177
1	11100	3329207
1	11100	3329236
1	11100	3329242
1	11100	3329257
1	11100	3329270
1	11100	3329329
1	11100	3329352
1	11103	3330026
1	11103	3330030
1	11103	3330036
1	11103	3330091
1	11103	3330122
1	11103	3330183
1	11103	3330187
1	11103	3330193
1	11103	3330226
1	11103	3330238
1	11103	3330287
1	11103	3330288
1	11103	3330297
